Monastiraki, MetroAzul, MetroVerde, 0.45
Syntagma, MetroRojo, MetroAzul, 0.52
Omonoia, MetroRojo, MetroVerde, 0.60
Attiki, MetroRojo, MetroVerde, 0.2
