Piraeus,Faliro,1.9920491473519493
Faliro,Moschato,1.715908263141575
Moschato,Kallithea,1.724239220956865
Kallithea,Tavros,0.540679595329705
Tavros,Petralona,0.7649522853485569
Petralona,Thissio,1.1859394950269286
Thissio,Monastiraki,1.5731094725930943
Monastiraki,Omonoia,1.1966228776852768
Omonoia,Victoria,0.9886529106991659
Victoria,Attiki,1.0031042946680353
Attiki,Aghios Nikolaos,0.9630255079626326
Aghios Nikolaos,Kato Patissia,0.5350200821238473
Kato Patissia,Aghios Eleftherios,0.9788169554114915
Aghios Eleftherios,Ano Patissia,0.5421092451686543
Ano Patissia,Perissos,1.1743151531033298
Perissos,Pefkakia,0.7159830450404958
Pefkakia,Nea lonia,0.7417918538832374
Nea lonia,Iraklio,1.0968098869797844
Iraklio,Irini,1.4827336058548861
Irini,Neratziotissa,0.9474006711082885
Neratziotissa,Maroussi,1.6041373260867833
Maroussi,KAT,1.0838729882184217
KAT,Kifissia,0.9430292972715859
